[2025-11-20 17:20:39] minutos=60; filiais=all; count=0
[2025-11-20 17:20:42] minutos=60; filiais=all; count=0
[2025-11-20 17:20:45] minutos=60; filiais=all; count=0
[2025-11-20 17:20:48] minutos=60; filiais=all; count=0
[2025-11-20 17:20:51] minutos=60; filiais=all; count=0
[2025-11-20 17:20:54] minutos=60; filiais=all; count=0
[2025-11-20 17:20:57] minutos=60; filiais=all; count=0
[2025-11-20 17:21:00] minutos=60; filiais=all; count=0
[2025-11-20 17:21:03] minutos=60; filiais=all; count=0
[2025-11-20 17:21:06] minutos=60; filiais=all; count=0
[2025-11-20 17:21:09] minutos=60; filiais=all; count=0
[2025-11-20 17:21:12] minutos=60; filiais=all; count=0
[2025-11-20 17:21:15] minutos=60; filiais=all; count=0
[2025-11-20 17:21:18] minutos=60; filiais=all; count=0
[2025-11-20 17:21:21] minutos=60; filiais=all; count=0
[2025-11-20 17:21:24] minutos=60; filiais=all; count=0
[2025-11-20 17:21:27] minutos=60; filiais=all; count=0
[2025-11-20 17:21:30] minutos=60; filiais=all; count=0
[2025-11-20 17:21:33] minutos=60; filiais=all; count=0
[2025-11-20 17:21:36] minutos=60; filiais=all; count=0
[2025-11-20 17:21:39] minutos=60; filiais=all; count=0
[2025-11-20 17:21:42] minutos=60; filiais=all; count=0
[2025-11-20 17:21:45] minutos=60; filiais=all; count=0
[2025-11-20 17:21:48] minutos=60; filiais=all; count=0
[2025-11-20 17:21:51] minutos=60; filiais=all; count=0
[2025-11-20 17:21:54] minutos=60; filiais=all; count=0
[2025-11-20 17:21:57] minutos=60; filiais=all; count=0
[2025-11-20 17:22:00] minutos=60; filiais=all; count=0
[2025-11-20 17:22:03] minutos=60; filiais=all; count=0
[2025-11-20 17:22:06] minutos=60; filiais=all; count=0
[2025-11-20 17:22:09] minutos=60; filiais=all; count=0
[2025-11-20 17:22:12] minutos=60; filiais=all; count=0
[2025-11-20 17:22:15] minutos=60; filiais=all; count=0
[2025-11-20 17:22:18] minutos=60; filiais=all; count=0
[2025-11-20 17:22:21] minutos=60; filiais=all; count=0
[2025-11-20 17:22:24] minutos=60; filiais=all; count=0
[2025-11-20 17:22:27] minutos=60; filiais=all; count=0
[2025-11-20 17:22:30] minutos=60; filiais=all; count=0
[2025-11-20 17:22:33] minutos=60; filiais=all; count=0
[2025-11-20 17:22:36] minutos=60; filiais=all; count=0
[2025-11-20 17:22:39] minutos=60; filiais=all; count=0
[2025-11-20 17:22:42] minutos=60; filiais=all; count=0
[2025-11-20 17:22:45] minutos=60; filiais=all; count=0
[2025-11-20 17:22:48] minutos=60; filiais=all; count=0
[2025-11-20 17:22:51] minutos=60; filiais=all; count=0
[2025-11-20 17:22:54] minutos=60; filiais=all; count=0
[2025-11-20 17:22:57] minutos=60; filiais=all; count=0
[2025-11-20 17:23:00] minutos=60; filiais=all; count=0
[2025-11-20 17:23:03] minutos=60; filiais=all; count=0
[2025-11-20 17:23:06] minutos=60; filiais=all; count=0
[2025-11-20 17:23:09] minutos=60; filiais=all; count=0
[2025-11-20 17:23:12] minutos=60; filiais=all; count=0
[2025-11-20 17:23:15] minutos=60; filiais=all; count=0
[2025-11-20 17:23:18] minutos=60; filiais=all; count=0
[2025-11-20 17:23:21] minutos=60; filiais=all; count=0
[2025-11-20 17:23:24] minutos=60; filiais=all; count=0
[2025-11-20 17:23:27] minutos=60; filiais=all; count=0
[2025-11-20 17:23:30] minutos=60; filiais=all; count=0
[2025-11-20 17:23:33] minutos=60; filiais=all; count=0
[2025-11-20 17:23:36] minutos=60; filiais=all; count=0
[2025-11-20 17:23:39] minutos=60; filiais=all; count=0
[2025-11-20 17:23:42] minutos=60; filiais=all; count=0
[2025-11-20 17:23:45] minutos=60; filiais=all; count=0
[2025-11-20 17:23:48] minutos=60; filiais=all; count=0
[2025-11-20 17:23:51] minutos=60; filiais=all; count=0
[2025-11-20 17:23:54] minutos=60; filiais=all; count=0
[2025-11-20 17:23:57] minutos=60; filiais=all; count=0
[2025-11-20 17:24:00] minutos=60; filiais=all; count=0
[2025-11-20 17:24:03] minutos=60; filiais=all; count=0
[2025-11-20 17:24:06] minutos=60; filiais=all; count=0
[2025-11-20 17:24:09] minutos=60; filiais=all; count=0
[2025-11-20 17:24:12] minutos=60; filiais=all; count=0
[2025-11-20 17:24:15] minutos=60; filiais=all; count=0
[2025-11-20 17:24:18] minutos=60; filiais=all; count=0
[2025-11-20 17:24:21] minutos=60; filiais=all; count=0
[2025-11-20 17:24:24] minutos=60; filiais=all; count=0
[2025-11-20 17:24:27] minutos=60; filiais=all; count=0
[2025-11-20 17:24:30] minutos=60; filiais=all; count=0
[2025-11-20 17:24:33] minutos=60; filiais=all; count=0
[2025-11-20 17:24:36] minutos=60; filiais=all; count=0
[2025-11-20 17:24:39] minutos=60; filiais=all; count=0
[2025-11-20 17:24:42] minutos=60; filiais=all; count=0
[2025-11-20 17:24:45] minutos=60; filiais=all; count=0
[2025-11-20 17:24:48] minutos=60; filiais=all; count=0
[2025-11-20 17:24:51] minutos=60; filiais=all; count=0
[2025-11-20 17:24:54] minutos=60; filiais=all; count=0
[2025-11-20 17:24:57] minutos=60; filiais=all; count=0
[2025-11-20 17:25:00] minutos=60; filiais=all; count=0
[2025-11-20 17:25:03] minutos=60; filiais=all; count=0
[2025-11-20 17:25:06] minutos=60; filiais=all; count=0
[2025-11-20 17:25:09] minutos=60; filiais=all; count=0
[2025-11-20 17:25:12] minutos=60; filiais=all; count=0
[2025-11-20 17:25:16] minutos=60; filiais=all; count=0
[2025-11-20 17:25:18] minutos=60; filiais=all; count=0
[2025-11-20 17:25:21] minutos=60; filiais=all; count=0
[2025-11-20 17:25:24] minutos=60; filiais=all; count=0
[2025-11-20 17:25:27] minutos=60; filiais=all; count=0
[2025-11-20 17:25:30] minutos=60; filiais=all; count=0
[2025-11-20 17:25:33] minutos=60; filiais=all; count=0
[2025-11-20 17:25:36] minutos=60; filiais=all; count=0
[2025-11-20 17:25:40] minutos=60; filiais=all; count=0
[2025-11-20 17:25:43] minutos=60; filiais=all; count=0
[2025-11-20 17:25:46] minutos=60; filiais=all; count=0
[2025-11-20 17:25:49] minutos=60; filiais=all; count=0
[2025-11-20 17:25:52] minutos=60; filiais=all; count=0
[2025-11-20 17:25:55] minutos=60; filiais=all; count=0
[2025-11-20 17:25:58] minutos=60; filiais=all; count=0
[2025-11-20 17:26:01] minutos=60; filiais=all; count=0
[2025-11-20 17:26:04] minutos=60; filiais=all; count=0
[2025-11-20 17:26:07] minutos=60; filiais=all; count=0
[2025-11-20 17:26:10] minutos=60; filiais=all; count=0
[2025-11-20 17:26:13] minutos=60; filiais=all; count=0
[2025-11-20 17:26:16] minutos=60; filiais=all; count=0
[2025-11-20 17:26:19] minutos=60; filiais=all; count=0
[2025-11-20 17:26:22] minutos=60; filiais=all; count=0
[2025-11-20 17:26:25] minutos=60; filiais=all; count=0
[2025-11-20 17:26:28] minutos=60; filiais=all; count=0
[2025-11-20 17:26:31] minutos=60; filiais=all; count=0
[2025-11-20 17:26:34] minutos=60; filiais=all; count=0
[2025-11-20 17:26:37] minutos=60; filiais=all; count=0
[2025-11-20 17:26:40] minutos=60; filiais=all; count=0
[2025-11-20 17:26:43] minutos=60; filiais=all; count=0
[2025-11-20 17:26:46] minutos=60; filiais=all; count=0
[2025-11-20 17:26:49] minutos=60; filiais=all; count=0
[2025-11-20 17:26:52] minutos=60; filiais=all; count=0
